url,origin,name,lang,hasParts,materia,image
http://www.wikidata.org/entity/Q7648934,Canada,sushipizza,fi,"{'pizza, sushi, riisi'}",{''},
http://www.wikidata.org/entity/Q5563074,Canada,姜牛肉,ja,{'牛肉'},{''},
http://www.wikidata.org/entity/Q7648934,Canada,Sushi pizza,es,"{'sushi, Oryza sativa, pizza'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,พิซซาฮาวายเอียน,th,"{'ปรอชชุตโต, ชีสพิซซ่า'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,Նանաիմո,hy,"{'ընկույզ, Քաստարդ, կոկոս, Գանաշ'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,Hawaii-pizza,sv,"{'Prosciutto, tomatsås'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,纳奈莫条,zh,"{'坚果, 甘纳许, 椰子, 奶黃, 威化'}",{''},
http://www.wikidata.org/entity/Q4118252,Canada,Pizzagetti,tr,"{'pizza, spagetti'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,nn,"{'pommes frites, Sjy, Opplagd mjølk'}",{''},
http://www.wikidata.org/entity/Q16269628,Canada,Tiram Rocky Mountain,jv,{'Téstis minangka panganan'},{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,la,"{'Patatae frictae, Gravatum'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,Barra de Nanaimo,es,"{'crema, nuez, coco, oblea, Ganache'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,sv,"{'pommes frites, Sky'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,بوتين,ar,"{'بطاطا مقلية, جريفي, حبوب الجبنة'}",{''},
http://www.wikidata.org/entity/Q7648934,Canada,Suşi pizza,tr,"{'pizza, suşi, Asya pirinci'}",{''},
http://www.wikidata.org/entity/Q16269628,Canada,ロッキー・マウンテン・オイスター,ja,{'食材としての睾丸'},{''},
http://www.wikidata.org/entity/Q16269628,Canada,صدف کوه های راکی,fa,{'دنبلان'},{''},
http://www.wikidata.org/entity/Q396184,Canada,Pucino,eo,"{'terpomfingroj, viandosuko, grajnfromaĝo'}",{''},
http://www.wikidata.org/entity/Q4118252,Canada,Pizza-ghetti,es,"{'pizza, espagueti'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,havaja pico,eo,"{'tomatsaŭco, picofromaĝo, ananaso'}",{''},
http://www.wikidata.org/entity/Q5056486,Canada,Montreal-style smoked meat,en,"{'mustard, smoked meat, rye bread'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,nb,"{'pommes frites, sjy'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,en,"{'gravy, french fries, cheese curds'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,fi,"{'ranskalaiset perunat, Raejuusto'}",{''},
http://www.wikidata.org/entity/Q5056486,Canada,sandwich à la viande fumée,fr,"{'moutarde, viande fumée'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,ca,"{'patates fregides, gravy, formatge en gra'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,hawaiipizza,nb,"{'prosciutto, tomatsaus, ananas'}",{''},
http://www.wikidata.org/entity/Q7142950,Canada,Pasta primavera,jv,{'pasta'},{''},
http://www.wikidata.org/entity/Q16917893,Canada,Poutchine au sac,en,"{'raisin, tallow, milk, wheat flour'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza havaiana,pt,"{'Prosciutto, molho de tomate, Abacaxi'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,jv,"{'Kenthang gorèng, Duduh kenthel, Dadih kèju'}",{''},
http://www.wikidata.org/entity/Q7142950,Canada,Pasta primavera,de,{'Pasta'},{''},
http://www.wikidata.org/entity/Q590076,Canada,Hawaii pitsa,et,"{'Prosciutto, tomatikaste'}",{''},
http://www.wikidata.org/entity/Q5056486,Canada,Daging garang leléwa Montreal,jv,"{'Mustar, Daging asep, Roti rye'}",{''},
http://www.wikidata.org/entity/Q7142950,Canada,паста примавера,ru,{'макаронные изделия'},{''},
http://www.wikidata.org/entity/Q2885517,Canada,Nanaimo kothak,jv,"{'Kacang woh, Custard, Waper, klapa, Ganaché'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,ro,"{'cartofi prăjiți, jus'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,夏威夷薄餅,yue,{'拿坡里汁'},{''},
http://www.wikidata.org/entity/Q106114625,Canada,Japadog,en,"{'sausage, hot dog bun'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,pt-br,{'Batata Frita pequena'},{''},
http://www.wikidata.org/entity/Q396184,Canada,プーティン,ja,"{'フライドポテト, グレイビーソース, チーズカード'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Պուտին,hy,"{'Ֆրի, կերակրալցուկ'}",{''},
http://www.wikidata.org/entity/Q5563074,Canada,姜汁牛肉,zh,{'牛肉'},{''},
http://www.wikidata.org/entity/Q7648934,Canada,sushi pizza,en,"{'pizza, sushi, Oryza sativa'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,干酪浇肉汁土豆条,zh-hans,{'马铃薯条'},{''},
http://www.wikidata.org/entity/Q590076,Canada,Hawaii pizza,hu,{'paradicsomszósz'},{''},
http://www.wikidata.org/entity/Q5447713,Canada,Figgy duff,en,{'flour'},{''},
http://www.wikidata.org/entity/Q396184,Canada,πουτίν,el,{'τηγανιτές πατάτες'},{''},
http://www.wikidata.org/entity/Q6754021,Canada,maple slaw,en,{'maple syrup'},{''},
http://www.wikidata.org/entity/Q5139848,Canada,Dónut de coco,es,{'coco'},{''},
http://www.wikidata.org/entity/Q247969,Canada,Індіанське морозиво (Канада),uk,{'Shepherdia canadensis'},{''},
http://www.wikidata.org/entity/Q5056486,Canada,گوشت دودی مونترآلی,fa,"{'خردل, نان چاودار'}",{''},
http://www.wikidata.org/entity/Q16269628,Canada,Tiram Pegunungan Rocky,id,{'Testis sebagai makanan'},{''},
http://www.wikidata.org/entity/Q3400757,Canada,プーティン,ja,{'ジャガイモ'},{''},
http://www.wikidata.org/entity/Q590076,Canada,夏威夷披萨,zh,"{'意大利生火腿, 番茄沙司, 鳳梨'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,nl,"{'patat, jus'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,Гавайська піца,uk,"{'Прошуто, томатний соус, ананас'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,Nanaimo bar,fi,"{'pähkinä, kookospähkinä, custard'}",{''},
http://www.wikidata.org/entity/Q7238917,Canada,prawn soup,en,{'prawn'},{''},
http://www.wikidata.org/entity/Q4118252,Canada,picspagetoj,eo,"{'pico, spagetoj'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,cs,"{'hranolky, Univerzální hnědá omáčka'}",{''},
http://www.wikidata.org/entity/Q3411527,Canada,Pâté chinois,jv,{'Daging sapi giling'},{''},
http://www.wikidata.org/entity/Q2885517,Canada,nanaimo bar,sv,"{'nöt, Ganache, kokosnöt, vaniljkräm, oblat'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,it,"{'patate fritte, Salsa gravy, Fiocchi di latte'}",{''},
http://www.wikidata.org/entity/Q16269628,Canada,Prairie oester,nl,{'testikels als voedsel'},{''},
http://www.wikidata.org/entity/Q5447713,Canada,無花果袋裝布丁,zh,{'穀粉'},{''},
http://www.wikidata.org/entity/Q7142950,Canada,파스타 프리마베라,ko,{'파스타'},{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza hawaiiană,ro,"{'Prosciutto, sos de roșii, ananas'}",{''},
http://www.wikidata.org/entity/Q7648934,Canada,Sushi pizza,id,"{'piza, susyi, padi'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,vi,{'khoai tây chiên'},{''},
http://www.wikidata.org/entity/Q396184,Canada,肉汁奶酪薯条,zh,"{'馬鈴薯條, 奶酪凝块, 肉汁'}",{''},
http://www.wikidata.org/entity/Q16269628,Canada,Huîtres des Rocheuses,fr,{'Animelles'},{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,es,"{'papas fritas, Gravy, queso en grano'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Путин,bg,{'пържени картофи'},{''},
http://www.wikidata.org/entity/Q590076,Canada,하와이안 피자,ko,"{'프로슈토, 토마토 소스, 피자 치즈'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,פוטין,he,"{'טוגנים, רוטב בשר'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,Հավայան պիցցա,hy,"{'Պրոշուտո, Տոմատի սոուս'}",{''},
http://www.wikidata.org/entity/Q3400757,Canada,Poutine râpée,fr,{'pomme de terre'},{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza hawaiana,es,"{'Prosciutto, salsa de tomate, piña'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,芝士淋肉汁薯條,zh-hk,{'薯條'},{''},
http://www.wikidata.org/entity/Q396184,Canada,ਪੂਟੀਨ,pa,{'ਫ਼ਰੈਂਚ ਫ਼ਰਾਈਜ਼'},{''},
http://www.wikidata.org/entity/Q396184,Canada,путин,ru,"{'картошка фри, подливка, творожное зерно'}",{''},
http://www.wikidata.org/entity/Q16917893,Canada,Poutchine au sac,fr,"{'lait, suif, raisin sec, farine de blé'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,ਨਨਾਈਮੋ ਬਾਰ,pa,"{'ਗਿਰੀ, ਕਸਟਰਡ'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza hawaïenne,fr,"{'Prosciutto crudo, sauce tomate, ananas'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,Pizza havaj,sk,"{'paradajková omáčka, Ananás pestovaný'}",{''},
http://www.wikidata.org/entity/Q16269628,Canada,Rocky Mountain oysters,en,{'testicles as food'},{''},
http://www.wikidata.org/entity/Q590076,Canada,Пица Хаваи,mk,{'до́матен сос'},{''},
http://www.wikidata.org/entity/Q396184,Canada,Путін,uk,"{'Картопля фрі, підлива, сирне зерно'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,Хавайска пица,bg,"{'Прошуто, Доматен сос'}",{''},
http://www.wikidata.org/entity/Q7205199,Canada,Ploye,fr,{'graine de sarrasin'},{''},
http://www.wikidata.org/entity/Q590076,Canada,Hawaii pizzası,tr,"{'domates sosu, pizza peyniri'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,پیتزا هاوایی,fa,"{'سس گوجهفرنگی, پنیر پیتزا'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza Hawaï,nl,"{'Prosciutto crudo, tomatensaus, ananas'}",{''},
http://www.wikidata.org/entity/Q5139848,Canada,Coconut doughnut,en,{'coconut'},{''},
http://www.wikidata.org/entity/Q5563074,Canada,Daging sapi jaé,jv,{'Pérangan daging sapi'},{''},
http://www.wikidata.org/entity/Q396184,Canada,푸틴,ko,"{'감자 튀김, 그레이비, 치즈 커드'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,pt,"{'batata frita, molho de carne'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,poutine,fr,"{'frite, sauce au jus de viande, fromage en grains'}",{''},
http://www.wikidata.org/entity/Q3400757,Canada,Poutine râpée,es,{'Solanum tuberosum'},{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,sk,"{'Zemiakové hranolčeky, Univerzálna hnedá omáčka'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,نانایمو بار,fa,"{'کاستارد, فندقی, گاناش, ویفر'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,Hawaiian pizza,en,"{'prosciutto, tomato sauce, pizza cheese, pineapple'}",{''},
http://www.wikidata.org/entity/Q2885517,Canada,Nanaimo bar,en,"{'nut, custard, coconut, ganache'}",{''},
http://www.wikidata.org/entity/Q4118252,Canada,Pizza-ghetti,fr,"{'pizza, spaghetti'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,干酪浇肉汁土豆条,zh-sg,{'马铃薯条'},{''},
http://www.wikidata.org/entity/Q3411527,Canada,Pâté chinois,en,{'ground beef'},{''},
http://www.wikidata.org/entity/Q4118252,Canada,Pizza-ghetti,nl,"{'spaghetti, pizza'}",{''},
http://www.wikidata.org/entity/Q5139848,Canada,Donat klapa,jv,{'klapa'},{''},
http://www.wikidata.org/entity/Q396184,Canada,起司澆肉汁馬鈴薯條,zh-hant,{'馬鈴薯條'},{''},
http://www.wikidata.org/entity/Q3411527,Canada,Pâté chinois,fr,{'bœuf haché'},{''},
http://www.wikidata.org/entity/Q3400757,Canada,Poutine râpée,en,{'potato'},{''},
http://www.wikidata.org/entity/Q396184,Canada,起司澆肉汁馬鈴薯條,zh-tw,{'馬鈴薯條'},{''},
http://www.wikidata.org/entity/Q5563074,Canada,Ginger beef,en,{'beef'},{''},
http://www.wikidata.org/entity/Q7205199,Canada,Ploye,en,{'buckwheat seed'},{''},
http://www.wikidata.org/entity/Q5056486,Canada,스모크트 미트,ko,"{'머스터드, 훈제고기, 호밀빵'}",{''},
http://www.wikidata.org/entity/Q4118252,Canada,pizza-ghetti,en,"{'pizza, spaghetti'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,gd,{'Tiops'},{''},
http://www.wikidata.org/entity/Q590076,Canada,pizza hawaiana,it,"{'prosciutto crudo italiano, mozzarella per pizza, salsa di pomodoro, ananas'}",{''},
http://www.wikidata.org/entity/Q7648934,Canada,寿司ピザ,ja,"{'ピザ, 寿司, イネ'}",{''},
http://www.wikidata.org/entity/Q3411527,Canada,魁北克中國派,zh,{'牛絞肉'},{''},
http://www.wikidata.org/entity/Q7648934,Canada,sushi pizza,it,"{'pizza, sushi, Oryza sativa'}",{''},
http://www.wikidata.org/entity/Q590076,Canada,ハワイアンピザ,ja,"{'プロシュット, トマトソース, ピザチーズ, パイナップル'}",{''},
http://www.wikidata.org/entity/Q5056486,Canada,Montreala fumaĵado,eo,"{'mustardo, fumaĵita viando, sekalpano'}",{''},
http://www.wikidata.org/entity/Q247969,Canada,Sxusem,tr,{'Shepherdia canadensis'},{''},
http://www.wikidata.org/entity/Q7648934,Canada,pizza aux sushis,fr,"{'pizza, sushi, oryza sativa'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,Poutine,de,"{'Pommes frites, Bratensauce, Cheese curds'}",{''},
http://www.wikidata.org/entity/Q396184,Canada,干酪浇肉汁土豆条,zh-cn,{'马铃薯条'},{''},
http://www.wikidata.org/entity/Q7142950,Canada,pasta primavera,en,{'pasta'},{''},
http://www.wikidata.org/entity/Q7142950,Canada,pasta primavera,it,{'pasta'},{''},
http://www.wikidata.org/entity/Q5099374,Dominican Republic,Chimichurris,es,"{'Salsa golf, carne picada de cerdo'}",{''},
http://www.wikidata.org/entity/Q5099374,Dominican Republic,chimichurri burger,en,"{'salsa golf, ground pork'}",{''},
http://www.wikidata.org/entity/Q5180300,Dominican Republic,Crachi,de,"{'Puffreis, Milchschokolade'}",{''},
http://www.wikidata.org/entity/Q5099374,Dominican Republic,Chimichurris,nl,"{'Salsa golf, varkensgehakt'}",{''},
http://www.wikidata.org/entity/Q5180300,Dominican Republic,Crachi,fr,"{'riz soufflé, chocolat au lait'}",{''},
http://www.wikidata.org/entity/Q5180300,Dominican Republic,Crachi,en,"{'puffed rice, milk chocolate'}",{''},
http://www.wikidata.org/entity/Q107292775,Dominican Republic,Yaroa,es,"{'queso, carne, condimento, raíz alimenticia'}",{''},
http://www.wikidata.org/entity/Q5099374,Dominican Republic,Chimichurri burger,jv,{'Salsa golf'},{''},
http://www.wikidata.org/entity/Q107292775,Dominican Republic,Yaroa,en,"{'cheese, meat, condiment, root vegetable'}",{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,กูร์ติโด,th,{'กะหล่ำปลี'},{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,Curtido,he,{'כרוב'},{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,Curtido,jv,{'Kul'},{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,クルティード,ja,{'キャベツ'},{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,Curtido,en,{'white cabbage'},{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,curtido,pt,{'repolho'},{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,Curtido (alimento),es,{'col blanca'},{''},
http://www.wikidata.org/entity/Q5195625,El Salvador,Curtido,tr,{'Lahana'},{''},
http://www.wikidata.org/entity/Q849816,Iran,Akide şekeri,tr,{'şeker'},{''},
http://www.wikidata.org/entity/Q2293551,Iran,Sabzi polo,fr,{'plante aromatique'},{''},
http://www.wikidata.org/entity/Q1923394,Iran,Джудже кебап,bg,{'пилешко'},{'пилешко'},
http://www.wikidata.org/entity/Q7227262,Iran,Sopa de granada,es,{'granada'},{'granada'},
http://www.wikidata.org/entity/Q2918079,Iran,ફાલુદા,gu,{'દૂધ'},{''},
http://www.wikidata.org/entity/Q2918079,Iran,ဖာလူဒါ,my,"{'နို့, ကြာဇံ'}",{''},
http://www.wikidata.org/entity/Q1305079,Iran,Ghormeh sabzi,nl,"{'peterselie, gewone boon, fenegriek, kruid, korianderzaad'}",{''},
http://www.wikidata.org/entity/Q7227262,Iran,ザクロのスープ,ja,{'ザクロ'},{'ザクロ'},
http://www.wikidata.org/entity/Q849816,Iran,نبات (قند),fa,{'شکر'},{''},
http://www.wikidata.org/entity/Q334891,Iran,Shishbarak,de,{'Nocken'},"{'Nocken, Hackfleisch'}",
http://www.wikidata.org/entity/Q1305079,Iran,Qormeh sabzi,es,"{'Petroselinum crispum, fríjol, Trigonella foenum-graecum, hierba, Semillas de cilantro'}",{''},
http://www.wikidata.org/entity/Q17680151,Iran,melongena kaviaro,eo,{'melongeno'},{''},
http://www.wikidata.org/entity/Q849816,Iran,rock candy,en,{'sugar'},{''},
http://www.wikidata.org/entity/Q1135831,Iran,rogan josh,nl,{'lamsvlees'},{''},
http://www.wikidata.org/entity/Q20987738,Iran,ash-e doogh,en,{'yogurt'},{''},
http://www.wikidata.org/entity/Q2986506,Iran,Faloodeh,nl,{'vermicelli'},{''},
http://www.wikidata.org/entity/Q958759,Iran,bamiyeh,it,{'yogurt'},{''},
http://www.wikidata.org/entity/Q17680151,Iran,Eggplant Caviar,en,{'eggplant'},{''},
http://www.wikidata.org/entity/Q11343150,Iran,mouhallabié,fr,"{'lait, sucre, farine de riz'}",{''},
http://www.wikidata.org/entity/Q11343150,Iran,Muhallebi,it,"{'latte, zucchero, farina di riso'}",{''},
http://www.wikidata.org/entity/Q752388,Iran,Kofta,jv,{'daging giling'},{'daging giling'},
http://www.wikidata.org/entity/Q608979,Iran,Fesenjān,de,{'Granatapfelsaft'},{''},
http://www.wikidata.org/entity/Q849816,Iran,سكر نبات,ar,{'سكر'},{''},
http://www.wikidata.org/entity/Q1923394,Iran,Jujèh kabab,jv,{'Iwak pitik'},{'Iwak pitik'},
http://www.wikidata.org/entity/Q20987994,Iran,Sho`l-e zard,uz,"{'guruch, sariеg`, Atirgul suvi'}","{'guruch, Qahva, sariеg`, Atirgul suvi'}",
http://www.wikidata.org/entity/Q1923394,Iran,Jujeh kabab,en-gb,{'chicken'},{'chicken'},
http://www.wikidata.org/entity/Q849816,Iran,Sucre Candi,ca,{'sucre'},{''},
http://www.wikidata.org/entity/Q1923394,Iran,Cücə kabab,az,{'Toyuq əti'},{'Toyuq əti'},
http://www.wikidata.org/entity/Q2918079,Iran,فالودا,fa,"{'شیر, رشته فرنگی, ریحان, گلاب'}",{''},
http://www.wikidata.org/entity/Q1135831,Iran,Rogan Josh,fr,"{""viande d'agneau""}",{''},
http://www.wikidata.org/entity/Q4090235,Iran,Bozbash,pt,{'carne de cordeiro'},{''},
http://www.wikidata.org/entity/Q849816,Iran,Цукор-кандіс,uk,{'цукор'},{''},
http://www.wikidata.org/entity/Q2293551,Iran,Sabzi polo,jv,{'Herba'},{''},
http://www.wikidata.org/entity/Q5711624,Iran,bastani,eo,"{'lakto, sukero, vanilo, safrano, Pistakujo, ovo, rozakvo'}",{''},
http://www.wikidata.org/entity/Q334891,Iran,Чучвара,uk,{'дамплінг'},"{'дамплінг, фарш'}",
http://www.wikidata.org/entity/Q608979,Iran,紅石榴核桃燉雞,zh,{'石榴汁'},{''},
http://www.wikidata.org/entity/Q752388,Iran,Kufte,ku,{'Goştê kişandî'},{'Goştê kişandî'},
http://www.wikidata.org/entity/Q2986506,Iran,Faloodeh,es,{'Vermicelli'},{''},
http://www.wikidata.org/entity/Q2918079,Iran,ഫലൂഡ,ml,"{'പാൽ, സേമിയ, അത്തർ'}",{''},
http://www.wikidata.org/entity/Q11343150,Iran,Mouhallabié,nl,"{'melk, suiker, rijstmeel'}",{''},
http://www.wikidata.org/entity/Q752388,Iran,कोफ़्ता,hi,{'कीमा'},{'कीमा'},
http://www.wikidata.org/entity/Q334891,Iran,شيشبرك,ar,{'دامبلنغ'},"{'دامبلنغ, لحم مفروم'}",
http://www.wikidata.org/entity/Q5711624,Iran,Bastani,uz,"{'sut, qand, Vanil, Atirgul suvi'}",{''},
http://www.wikidata.org/entity/Q5711624,Iran,באסתני,he,"{'חלב, סוכר, וניל, זעפרן, פיסטוק, ביצה, מי ורדים'}",{''},
http://www.wikidata.org/entity/Q7227262,Iran,Nar şorbası,az,{'nar'},{'nar'},
http://www.wikidata.org/entity/Q5711624,Iran,bastani,vi,"{'sữa, đường, va ni, Saffron, Hồ trăn, Nước hoa hồng, trứng'}",{''},
http://www.wikidata.org/entity/Q28155445,Iran,Albaloo polo,jv,{'pantun'},{''},
http://www.wikidata.org/entity/Q2293551,Iran,Sabzi polo,en,{'herb'},{''},
http://www.wikidata.org/entity/Q849816,Iran,കൽക്കണ്ടം,ml,{'പഞ്ചസാര'},{''},
http://www.wikidata.org/entity/Q11343150,Iran,محلبی,fa,"{'شیر, شکر, آرد برنج'}",{''},
http://www.wikidata.org/entity/Q849816,Iran,मिश्री,mai,{'चिनी'},{''},
http://www.wikidata.org/entity/Q849816,Iran,Kandiscukor,hu,{'cukor'},{''},
http://www.wikidata.org/entity/Q20987994,Iran,sholezard,en,"{'rice, saffron, cinnamon, butter, rose water, cardamom'}","{'rice, coffee, saffron, cinnamon, butter, rose water, cardamom'}",
http://www.wikidata.org/entity/Q1305079,Iran,Ghormeh sabzi,it,"{'Petroselinum crispum, Phaseolus vulgaris, Trigonella foenum-graecum, erba, seme di coriandolo'}",{''},
http://www.wikidata.org/entity/Q849816,Iran,खण्डशर्करा,sa,{'शर्करा'},{''},
http://www.wikidata.org/entity/Q2918079,Iran,Фалуда,kk,"{'сүт, Базилик'}",{''},
http://www.wikidata.org/entity/Q849816,Iran,Kandís,is,{'matarsykur'},{''},
http://www.wikidata.org/entity/Q849816,Iran,Gula tawas,bjn,{'gula'},{''},
http://www.wikidata.org/entity/Q1135831,Iran,Rogan josh,es,{'carne de cordero'},{''},
http://www.wikidata.org/entity/Q958759,Iran,Bamiyeh,nl,{'yoghurt'},{''},
http://www.wikidata.org/entity/Q4090235,Iran,bozbaş,tr,{'kuzu eti'},{''},
http://www.wikidata.org/entity/Q2918079,Iran,ಫ಼ಾಲೂದಾ,kn,{'ಹಾಲು'},{''},
http://www.wikidata.org/entity/Q1135831,Iran,रोग़न जोश,hi,{'भेड़ का बच्चा'},{''},
http://www.wikidata.org/entity/Q2293551,Iran,Sabzi polo,es,{'hierba'},{''},
http://www.wikidata.org/entity/Q1305079,Iran,Ghormeh sabzi,nb,"{'persille, Hagebønne, bukkehornkløver, urt'}",{''},
http://www.wikidata.org/entity/Q11343150,Iran,Mahallebi,en-ca,"{'milk, sugar'}",{''},
http://www.wikidata.org/entity/Q2986506,Iran,Faloodeh,de,{'Vermicelli'},{''},
http://www.wikidata.org/entity/Q20987738,Iran,Ayran çorbası,tr,{'yoğurt'},{''},
http://www.wikidata.org/entity/Q2986506,Iran,גלידה פרסית,he,"{""ורמיצ'לי""}",{''},
